theta,avg,median,best,global_best,better_count,first_better_generation,best_in_many_times,best_x_in_many_times,best_y_in_many_times,best_chrom_in_many_times
0.001,-483.1395241845994,-286.45767723205006,-5.618025478289999,-0.03210460222499994,0.0,81.6,-0.0009036081000001119,1.003,1.009,[1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 1]
0.00268965517241,-301.4431494710119,-97.96951285679502,-1.4760309224550008,-0.002833628215000007,0.2,69.57894736842105,-4.9240099999996025e-05,1.007,1.014,[1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0]
0.00437931034483,-89.233176844761,-9.327101189085003,-0.024357639880000042,-0.002708670039999992,1.2,64.94736842105263,-2.5062500000000308e-05,0.995,0.99,[1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0]
0.00606896551724,-67.16166932629034,-4.940292279174999,-0.01580039197999999,-0.006752384540000006,1.7,60.27777777777778,-4.001599999999922e-06,1.002,1.004,[1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 0]
0.00775862068966,-48.03143328269966,-2.4881762228249995,-0.005721568184999971,-0.0023351530599999967,3.2,62.578947368421055,-1.0001000000000076e-06,0.999,0.998,[1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0]
0.00944827586207,-29.420014607093673,-0.28743565748000083,-0.014339606290000001,-0.013856967890000002,5.05,45.266666666666666,-3.612960000000032e-05,0.994,0.988,[1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 1 1 1 0 0]
0.0111379310345,-32.64158987194467,-0.1815377440549999,-0.012105016290000003,-0.011981041970000007,4.9,52.733333333333334,-1.0001000000000076e-06,0.999,0.998,[1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0]
0.0128275862069,-23.640666068861005,-0.025191176535,-0.011092295414999998,-0.011080220689999998,5.95,28.53846153846154,-1.000099999999719e-06,1.001,1.002,[1 0 1 1 1 1 1 0 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 0]
0.0145172413793,-15.440631669867667,-0.029075129564999976,-0.018329110210000017,-0.018270277885000016,6.9,30.384615384615383,-1.6025600000000083e-05,1.004,1.008,[1 0 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0]
0.0162068965517,-17.659764545756666,-0.03626066237999996,-0.030603705260000003,-0.025892966060000015,6.75,31.916666666666668,-1.0001000000000076e-06,0.999,0.998,[1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0]
0.0178965517241,-10.849657002093334,-0.03184565748,-0.031767564124999995,-0.031767564124999995,6.95,26.583333333333332,-4.001599999999922e-06,1.002,1.004,[1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 0]
0.0195862068966,-8.478630889403334,-0.03311968861500001,-0.032869548614999994,-0.032852026294999996,7.1,34.833333333333336,-1.0001000000000076e-06,0.999,0.998,[1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0]
0.021275862069,-9.327779670572001,-0.049233421660000005,-0.049233421660000005,-0.049233421660000005,5.95,20.555555555555557,-1.6025600000000083e-05,1.004,1.008,[1 0 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0]
0.0229655172414,-2.227453074614668,-0.02125394558000001,-0.02124626710000001,-0.02124626710000001,8.75,26.46153846153846,-4.001599999999922e-06,1.002,1.004,[1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 0]
0.0246551724138,-7.971693639057665,-0.043336935325,-0.043256935324999995,-0.043256935324999995,4.7,21.571428571428573,-1.6025600000000083e-05,0.996,0.992,[1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0]
0.0263448275862,-4.1955920043693355,-0.036723308060000015,-0.036723308060000015,-0.036723308060000015,6.8,25.4,-6.440959999999951e-05,0.992,0.984,[1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 0 0]
0.0280344827586,-6.774511400545334,-0.04784370422000001,-0.04784370422000001,-0.04784370422000001,8.4,17.916666666666668,-2.5062499999997533e-05,1.005,1.01,[1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 0]
0.029724137931,-4.924747086155999,-0.042770298215,-0.042770298215,-0.042770298215,6.4,14.333333333333334,-1.6025600000000083e-05,1.004,1.008,[1 0 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0]
